sex,age_group,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
female,0-4,24.13,24.53,24.9,25.23,25.54,25.84,25.67,25.51,25.35,25.18,25.02,24.85,24.67,24.49,24.29,24.1
female,5-9,24.8,24.51,24.34,24.27,24.25,24.22,24.62,24.99,25.32,25.63,25.93,25.77,25.61,25.44,25.28,25.11
female,10-14,27.43,27.13,26.65,26.09,25.54,25.1,24.8,24.63,24.56,24.54,24.51,24.92,25.29,25.62,25.93,26.25
female,15-19,27.53,27.41,27.45,27.56,27.61,27.51,27.2,26.72,26.15,25.61,25.16,24.87,24.7,24.63,24.61,24.58
female,20-24,29.4,29.06,28.59,28.06,27.6,27.29,27.17,27.22,27.34,27.4,27.3,26.99,26.53,25.97,25.43,25
female,25-29,29.21,29.25,29.3,29.33,29.27,29.08,28.74,28.26,27.74,27.29,26.99,26.89,26.94,27.07,27.13,27.05
female,30-34,29.19,29.11,29.04,28.99,28.96,28.95,28.97,29.02,29.05,28.99,28.8,28.45,27.99,27.47,27.03,26.73
female,35-39,29.65,29.47,29.32,29.18,29.06,28.97,28.88,28.81,28.76,28.73,28.72,28.74,28.79,28.81,28.75,28.57
female,40-44,30.12,30.13,30.03,29.86,29.65,29.46,29.28,29.13,28.99,28.88,28.78,28.7,28.63,28.58,28.55,28.54
female,45-49,28.41,28.87,29.3,29.67,29.93,30.07,30.08,29.98,29.81,29.61,29.42,29.25,29.09,28.97,28.85,28.76
female,50-54,25.32,26.09,26.72,27.26,27.74,28.22,28.68,29.12,29.48,29.75,29.89,29.9,29.8,29.64,29.45,29.26
female,55-59,19.37,20.55,21.73,22.86,23.9,24.81,25.56,26.19,26.72,27.2,27.67,28.13,28.56,28.93,29.2,29.35
female,60-64,13.43,14.32,15.32,16.41,17.55,18.69,19.84,20.98,22.08,23.09,23.97,24.71,25.32,25.84,26.32,26.79
female,65-69,9.71,10.28,10.79,11.3,11.89,12.6,13.45,14.41,15.44,16.52,17.61,18.7,19.79,20.84,21.8,22.65
female,70-74,5.56,6.11,6.75,7.42,8.07,8.67,9.19,9.65,10.13,10.68,11.33,12.11,13,13.95,14.94,15.94
female,75+,5.81,6.12,6.45,6.84,7.32,7.88,8.55,9.31,10.13,10.99,11.88,12.77,13.7,14.67,15.74,16.91
male,0-4,25.35,25.77,26.14,26.46,26.72,26.89,26.72,26.55,26.39,26.21,26.04,25.87,25.69,25.5,25.3,25.1
male,5-9,26.02,25.64,25.41,25.32,25.33,25.43,25.85,26.23,26.55,26.82,26.99,26.82,26.65,26.48,26.31,26.14
male,10-14,29.29,28.87,28.27,27.57,26.9,26.35,25.96,25.73,25.63,25.64,25.75,26.18,26.56,26.89,27.16,27.34
male,15-19,29.4,29.37,29.44,29.53,29.52,29.33,28.92,28.31,27.61,26.94,26.4,26.01,25.78,25.68,25.7,25.81
male,20-24,30.12,30.07,29.92,29.7,29.5,29.34,29.31,29.38,29.48,29.47,29.29,28.88,28.29,27.6,26.93,26.38
male,25-29,29.51,29.81,30.1,30.34,30.5,30.57,30.51,30.34,30.12,29.91,29.76,29.72,29.8,29.9,29.9,29.72
male,30-34,28.82,29.04,29.25,29.47,29.72,29.99,30.29,30.57,30.8,30.95,31,30.94,30.76,30.54,30.33,30.18
male,35-39,28.26,28.19,28.28,28.48,28.73,28.95,29.16,29.37,29.59,29.82,30.1,30.39,30.66,30.89,31.03,31.08
male,40-44,29.72,29.58,29.25,28.82,28.43,28.19,28.12,28.21,28.41,28.65,28.88,29.09,29.29,29.51,29.74,30.02
male,45-49,27.79,28.14,28.59,29.05,29.38,29.49,29.36,29.03,28.61,28.22,27.98,27.92,28.01,28.21,28.45,28.68
male,50-54,26.2,26.66,26.91,27.04,27.18,27.4,27.75,28.2,28.65,28.98,29.1,28.97,28.64,28.24,27.86,27.63
male,55-59,20.73,21.85,22.94,23.95,24.81,25.49,25.94,26.19,26.32,26.47,26.69,27.04,27.48,27.93,28.26,28.38
male,60-64,14.49,15.36,16.34,17.39,18.46,19.53,20.58,21.61,22.56,23.37,24.01,24.44,24.69,24.83,24.98,25.21
male,65-69,10.21,10.74,11.22,11.72,12.28,12.95,13.74,14.62,15.57,16.54,17.5,18.45,19.38,20.24,20.98,21.57
male,70-74,5.8,6.32,6.88,7.45,8,8.5,8.94,9.36,9.78,10.26,10.83,11.51,12.26,13.07,13.89,14.72
male,75+,4.7,5.03,5.38,5.79,6.24,6.75,7.33,7.96,8.63,9.3,9.98,10.65,11.33,12.04,12.81,13.64
